Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AAT1, Account, 营业利润, false, dynamic calc, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT101, AAT1, 净收入合计, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AAT10101, AAT101, 广告收入, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AAT1010101, AAT10101, 品牌收入, false, store, false, , , AR50105, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AAT1010102, AAT10101, 地方站收入, false, store, false, , , AR50105, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AAT1010103, AAT10101, 买车宝, false, store, false, , , AR50105, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AAT1010104, AAT10101, 团购, false, store, false, , , AR50105, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AAT10102, AAT101, 其他收入, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AAT102, AAT1, 成本合计, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, -
AAT10201, AAT102, 广告成本, false, store, false, , , AD1001, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AAT10202, AAT102, 其他成本, false, store, false, , , AD1003, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AAT103, AAT1, 费用合计, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, -
AAT10301, AAT103, 人员费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030101, AAT10301, 工资, false, store, false, , , AE1101, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030102, AAT10301, 奖金, false, store, false, , , AE1102, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030103, AAT10301, 销售人员奖金, false, store, false, , , AE1103, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030104, AAT10301, 加班费, false, store, false, , , AE1104, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030105, AAT10301, 劳务费, false, store, false, , , AE1105, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030106, AAT10301, 离职补偿金, false, store, false, , , AE1106, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030107, AAT10301, 津贴, false, store, false, , , AE1107, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030108, AAT10301, 员工活动费, false, store, false, , , AE1108, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030109, AAT10301, 外籍员工生活费及其他, false, store, false, , , AE1109, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030110, AAT10301, 外籍员工税金, false, store, false, , , AE1110, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030111, AAT10301, 员工房租补贴, false, store, false, , , AE1111, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030112, AAT10301, 外企服务费, false, store, false, , , AE1113, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030113, AAT10301, 员工商业保险, false, store, false, , , AE1114, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030114, AAT10301, 福利费_养老金, false, store, false, , , AE1201, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030115, AAT10301, 福利费_医疗保险, false, store, false, , , AE1202, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030123, AAT10301, 福利费_生育保险, false, store, false, , , AE1202, , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT1030116, AAT10301, 福利费_工伤失业保险, false, store, false, , , AE1203, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030117, AAT10301, 福利费_住房公积金, false, store, false, , , AE1204, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030118, AAT10301, 福利费_教育经费, false, store, false, , , AE1205, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030119, AAT10301, 福利费_工会经费, false, store, false, , , AE1206, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030120, AAT10301, 福利费_其他, false, store, false, , , AE1207, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030121, AAT10301, 福利费_残障金, false, store, false, , , AE1208, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030122, AAT10301, Stock  Compensation, false, store, false, , , AE1209, , unspecified, expense, flow, none, none, expense, Plan1, true, +
