Entity, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Base Currency, Plan Type (Plan1), Aggregation (Plan1), BusinessLine, Attribute_ByNature, Attribute_city
EN3, Entity, 汽车, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN300, EN3, 汽车_缺省, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, 
EN399, EN3, 汽车_调整, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, , 
EN301, EN3, 外站_汽车, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN30101, EN301, 东北区_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_其他城市
EN30102, EN301, 华北区_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_其他城市
EN30106, EN301, 华东区_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_其他城市
EN30107, EN301, 华南区_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_其他城市
EN30105, EN301, 华中区_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_其他城市
EN30103, EN301, 山东区_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_其他城市
EN30104, EN301, 苏皖区_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_其他城市
EN30108, EN301, 西部区_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_其他城市
EN30109, EN301, 区域支持_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN302, EN3, 总部_汽车, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN30204, EN302, 高管组_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_GA, Attri_北京
EN30205, EN302, 行政组_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_GA, Attri_北京
EN30212, EN302, 总编室_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN30208, EN302, 市场部_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN30211, EN302, 营销策略中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN30210, EN302, 新闻中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN30218, EN302, 咨询产品技术部_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN30216, EN302, 二手车中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN30214, EN302, 评测中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN30219, EN302, 车型库中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN30215, EN302, 报价库中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN30220, EN302, 车迷中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN30201, EN302, 产品中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN30206, EN302, 互动中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN30213, EN302, 数据中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_GA, Attri_北京
EN30217, EN302, 移动中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN30207, EN302, 技术中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN30203, EN302, 服务营销中心_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN30222, EN302, 内容及运营中心一部_汽车, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
