Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AFS1, Account, 营业利润, false, dynamic calc, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AFS101, AFS1, 净收入合计, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AFS10101, AFS101, 广告净收入, false, never share, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AFS1010101, AFS10101, 收入下单金额, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, ~
AFS1010102, AFS10101, 收入收入金额, false, store, false, , , AR50101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AFS10102, AFS101, 其他收入, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AFS1010201, AFS10102, 培训收入, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AFS1010202, AFS10102, 家居商城, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AFS1010203, AFS10102, 装修网, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AFS102, AFS1, 成本合计, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, -
AFS10201, AFS102, 广告成本, false, store, false, , , AD1001, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS10202, AFS102, 其他成本, false, store, false, , , AD1003, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS103, AFS1, 费用合计, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, -
AFS10301, AFS103, 人员费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030101, AFS10301, 工资, false, store, false, , , AE1101, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030102, AFS10301, 奖金, false, store, false, , , AE1102, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030103, AFS10301, 销售人员奖金, false, store, false, , , AE1103, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030124, AFS10301, 电商奖金, false, store, false, , , AE1103, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030125, AFS10301, 利润分成, false, store, false, , , AE1103, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030126, AFS10301, PK奖金, false, store, false, , , AE1103, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030127, AFS10301, 管理层奖金, false, store, false, , , AE1103, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030128, AFS10301, 销售奖金整体调整, false, store, false, , , AE1103, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030104, AFS10301, 加班费, false, store, false, , , AE1104, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030105, AFS10301, 劳务费, false, store, false, , , AE1105, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030106, AFS10301, 离职补偿金, false, store, false, , , AE1106, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030107, AFS10301, 津贴, false, store, false, , , AE1107, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030108, AFS10301, 员工活动费, false, store, false, , , AE1108, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030109, AFS10301, 外籍员工生活费及其他, false, store, false, , , AE1109, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030110, AFS10301, 外籍员工税金, false, store, false, , , AE1110, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030111, AFS10301, 员工房租补贴, false, store, false, , , AE1111, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030112, AFS10301, 外企服务费, false, store, false, , , AE1113, , currency, expense, flow, none, none, expense, Plan1, true, +
AFS1030113, AFS10301, 员工商业保险, false, store, false, , , AE1114, , currency, expense, flow, none, none, expense, Plan1, true, +
