Spare2, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Aggregation (Plan1)
NoSpare2, Spare2, Spare2_缺省, false, store, false, , , , , unspecified, +
SP21, Spare2, 资产类别汇总, false, store, false, , , , , unspecified, +
SP2101, SP21, 服务器类, false, store, false, , , , , unspecified, +
SP210101, SP2101, Server, false, store, false, , , , , unspecified, +
SP210102, SP2101, Network Equipment, false, store, false, , , , , unspecified, +
SP2102, SP21, 员工类, false, store, false, , , , , unspecified, +
SP210201, SP2102, Computer, false, store, false, , , , , unspecified, +
SP210202, SP2102, Leasehold Improvement, false, store, false, , , , , unspecified, +
SP210203, SP2102, Office Equipment, false, store, false, , , , , unspecified, +
SP210204, SP2102, Furniture and Fixture, false, store, false, , , , , unspecified, +
SP210205, SP2102, Vehicle, false, store, false, , , , , unspecified, +
SP210206, SP2102, Building, false, store, false, , , , , unspecified, +
SP210207, SP2102, Park Lot Using Right, false, store, false, , , , , unspecified, +
SP2103, SP21, 软件类, false, store, false, , , , , unspecified, +
SP22, Spare2, 福利费类别, false, store, false, , , , , unspecified, +
SP2201, SP22, 福利费涨幅比率, false, store, false, , , , , unspecified, +
SP2202, SP22, 福利基数, false, store, false, , , , , unspecified, +
SP23, Spare2, 节点汇总, false, store, false, , , , , unspecified, +
SP23S31, SP23, 北京联通_皂君庙, false, store, false, DGPT接口, , , , unspecified, +
SP23S71, SP23, 北京联通_皂君庙_北显合同, false, store, false, DGPT接口, , , , unspecified, +
SP23S13, SP23, 北京电信兆维二层_一期, false, store, false, DGPT接口, , , , unspecified, +
SP23S14, SP23, 北京电信兆维三层_一期, false, store, false, DGPT接口, , , , unspecified, +
SP23S15, SP23, 北京电信兆维三层_二期, false, store, false, DGPT接口, , , , unspecified, +
SP23S05, SP23, 北京联通土城七层, false, store, false, DGPT接口, , , , unspecified, +
SP23S72, SP23, 北京联通土城六层_互联网6个机架, false, store, false, DGPT接口, , , , unspecified, +
SP23S12, SP23, 北京电信, false, store, false, DGPT接口, , , , unspecified, +
SP23S02, SP23, 济南联通担山屯, false, store, false, DGPT接口, , , , unspecified, +
SP23S88, SP23, 沈阳联通华翔机房, false, store, false, DGPT接口, , , , unspecified, +
SP23S07, SP23, 武汉电信, false, store, false, DGPT接口, , , , unspecified, +
SP23S21, SP23, 赛尔教育网IDC, false, store, false, DGPT接口, , , , unspecified, +
SP23S01, SP23, 郑州联通, false, store, false, DGPT接口, , , , unspecified, +
SP23S105, SP23, 搜狐媒体大厦至铁通丰台互联裸光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S03, SP23, 济南联通, false, store, false, DGPT接口, , , , unspecified, +
SP23S94, SP23, 浙江联通(1号楼枢纽), false, store, false, DGPT接口, , , , unspecified, +
SP23S04, SP23, 北京联通土城六层, false, store, false, DGPT接口, , , , unspecified, +
SP23S20, SP23, 北京铁通, false, store, false, DGPT接口, , , , unspecified, +
SP23S73, SP23, 北京联通土城七层_临时带宽, false, store, false, DGPT接口, , , , unspecified, +
SP23S06, SP23, 北京联通土城九层, false, store, false, DGPT接口, , , , unspecified, +
SP23S74, SP23, 北京联通土城九层_北显合同, false, store, false, DGPT接口, , , , unspecified, +
SP23S09, SP23, 成都电信二枢, false, store, false, DGPT接口, , , , unspecified, +
SP23S08, SP23, 广州电信, false, store, false, DGPT接口, , , , unspecified, +
SP23S75, SP23, 广州第三方电信代理, false, store, false, DGPT接口, , , , unspecified, +
SP23S16, SP23, 上海电信南汇, false, store, false, DGPT接口, , , , unspecified, +
