Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
ASH1, Account, 营业利润, false, dynamic calc, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH101, ASH1, 净收入合计, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH10101, ASH101, 广告收入, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010101, ASH10101, 媒体广告收入, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH101010101, ASH1010101, 品牌广告收入, false, store, false, , , AR50101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH101010103, ASH1010101, 中长尾-精准CPC广告收入, false, store, false, , , AR50104, , unspecified, revenue, flow, none, none, non-expense, Plan1, true, +
ASH101010104, ASH1010101, 中长尾-其他广告收入, false, store, false, , , AR50105, , unspecified, revenue, flow, none, none, non-expense, Plan1, true, +
ASH101010102, ASH1010101, 媒体广告分摊收入, false, store, false, , , AR50199, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010102, ASH10101, 政府广告收入, false, store, false, , , AR50102, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010103, ASH10101, 其他广告收入, false, store, false, , , AR50103, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH10102, ASH101, 无线收入, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010201, ASH10102, 短信, false, store, false, , , AR52101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010202, ASH10102, 彩信, false, store, false, , , AR52102, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010203, ASH10102, WAP, false, store, false, , , AR52103, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010204, ASH10102, 语音互动, false, store, false, , , AR52104, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010205, ASH10102, 彩铃, false, store, false, , , AR52105, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010206, ASH10102, 手机游戏, false, store, false, , , AR52106, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010207, ASH10102, 阅读, false, store, false, , , AR52107, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010208, ASH10102, 手机视频, false, store, false, , , AR52108, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010209, ASH10102, 应用商店, false, store, false, , , AR52109, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010212, ASH10102, Animation, false, store, false, , , AR52112, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010213, ASH10102, MDO, false, store, false, , , AR52111, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010210, ASH10102, BusinessTaxes, false, store, false, , , AR52110, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH1010211, ASH10102, 无线分摊收入, false, store, false, , , AR52199, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
ASH10103, ASH101, 其他收入, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
