Entity, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Base Currency, Plan Type (Plan1), Aggregation (Plan1), BusinessLine, Attribute_ByNature, Attribute_city
EN1, Entity, 大搜狐, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN100, EN1, 大搜狐_缺省, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_GA, 
END01, EN1, 搜狐媒体_PC端, false, store, false, , , , , unspecified, CNY, true, +, , , 
END0199, END01, 搜狐媒体_PC端_缺省, false, store, false, , , , , unspecified, CNY, true, +, , Attri_GA, Attri_北京
EN101, END01, 广告销售, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN10101, EN101, 北京_广告销售, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN10102, EN101, 上海_广告销售, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_上海
EN10103, EN101, 广州_广告销售, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_广州
EN10104, EN101, 精准营销中心_广告销售, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN106, EN101, 客户服务中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN102, END01, 大内容, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN10200, EN102, 大内容_缺省, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10217, EN102, 新闻财经中心, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN10209, EN10217, 新闻中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10210, EN10217, 总编室, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10213, EN10217, 军事中心_大内容, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10215, EN10217, 文化中心_大内容, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10207, EN10217, 金融中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10202, EN10217, 财经中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021109, EN10217, 时尚频道, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021106, EN10217, 女人频道, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10206, EN102, 体育中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10216, EN102, 搜狐新闻视频部（邱启明）, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10204, EN102, 媒体合作中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10220, EN102, 产品技术部, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN113, EN10220, 科技, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10221, EN10220, 搜生活, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN1021101, EN10221, 健康频道, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021110, EN10221, 视频支持部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021111, EN10221, 手机时尚部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021113, EN10221, 用户体验部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021118, EN10221, 内容营销中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021119, EN10221, 内容推广中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10212, EN10221, 移动媒体部_大内容, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
