Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AVD1, Account, 营业利润, false, dynamic calc, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD101, AVD1, 净收入合计, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD10101, AVD101, 广告收入, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010101, AVD10101, 品牌广告, false, store, false, , , AR50101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010106, AVD10101, 品牌广告_内部交易(与搜狗及畅游), false, store, false, , , AR50098, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010108, AVD10101, 品牌广告_内部交易(与搜狐), false, store, false, , , AR50096, , unspecified, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010103, AVD10101, 第三方广告联盟, false, store, false, , , AR50101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010104, AVD10101, 贴片效果类-游戏, false, store, false, , , AR50101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010105, AVD10101, 其他效果类-联盟, false, store, false, , , AR50101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010107, AVD10101, 其他广告收入, false, store, false, , , AR50101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD10102, AVD101, 其他收入, false, store, false, , , , , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010201, AVD10102, 分销收入, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010202, AVD10102, 用户付费收入, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010203, AVD10102, 互动直播收入, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010204, AVD10102, 分摊收入, false, store, false, , , AR58199, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010205, AVD10102, 和视界净收入, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010206, AVD10102, 收费视频业务净收入, false, store, false, , , AR58101, , currency, revenue, flow, none, none, non-expense, Plan1, true, +
AVD1010299, AVD10102, 其他收入_其他, false, store, false, , , AR58101, , unspecified, revenue, flow, none, none, non-expense, Plan1, true, +
AVD102, AVD1, 成本合计, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, -
AVD10201, AVD102, 广告销售成本, false, store, false, , , AD1001, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10202, AVD102, 前向成本, false, store, false, , , AD1003, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10203, AVD102, 换剧成本, false, store, false, , , AD1003, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10204, AVD102, 其中:美剧分成成本, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, ~
AVD10205, AVD102, 投资成本, false, store, false, , , AD1003, , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD103, AVD1, 费用合计, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, -
AVD10301, AVD103, 人员费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030101, AVD10301, 工资, false, store, false, , , AE1101, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030102, AVD10301, 奖金, false, store, false, , , AE1102, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030103, AVD10301, 销售人员奖金, false, store, false, , , AE1103, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030104, AVD10301, 加班费, false, store, false, , , AE1104, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030105, AVD10301, 劳务费, false, store, false, , , AE1105, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030106, AVD10301, 离职补偿金, false, store, false, , , AE1106, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030107, AVD10301, 津贴, false, store, false, , , AE1107, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030108, AVD10301, 员工活动费, false, store, false, , , AE1108, , currency, expense, flow, none, none, expense, Plan1, true, +
